Processes,resolution,time
1,64x64,0.0389605
1,128x128,0.23604
1,256x256,1.64883
1,512x512,12.1697
1,1024x1024,131.108
2,64x64,0.0219152
2,128x128,0.120978
2,256x256,0.849431
2,512x512,6.33262
2,1024x1024,69.5856
4,64x64,0.0131638
4,128x128,0.0627398
4,256x256,0.42672
4,512x512,3.19216
4,1024x1024,44.4123
8,64x64,0.0100738
8,128x128,0.0363798
8,256x256,0.223323
8,512x512,1.62379
8,1024x1024,37.6725
16,64x64,0.0107346
16,128x128,0.0270474
16,256x256,0.126587
16,512x512,0.829881
16,1024x1024,17.7946
